quote_id,section,labels,quotation,title,url
27,Abstract,"['Quantitative evidence (e.g. experiments)', 'Applies to real world']",Experiments are included to demonstrate the advantage of structured sparsity over standard sparsity on some real applications.,Learning with Structured Sparsity,https://www.jmlr.org/papers/volume12/huang11b/huang11b.pdf
34,Introduction,['Approximation'],We consider the situation that the true mean of the observation Ey can be approximated by a sparse linear combination of the basis vectors.,Learning with Structured Sparsity,https://www.jmlr.org/papers/volume12/huang11b/huang11b.pdf
43,Introduction,['Used in practice/Popular'],"In practical applications, one often knows a structure on the coefﬁcient vector ¯b in addition to sparsity.",Learning with Structured Sparsity,https://www.jmlr.org/papers/volume12/huang11b/huang11b.pdf
52,Introduction,"['Theoretical guarantees', 'Performance']",One is convex relaxation (L1 regularization to replace L0 regularization for standard sparsity); the other is forward greedy selection (also called orthogonal matching pursuit or OMP).,Learning with Structured Sparsity,https://www.jmlr.org/papers/volume12/huang11b/huang11b.pdf
63,Discussion,"['Novelty', 'Efficiency']",The structured greedy algorithm presented in this paper is the first efficient algorithm proposed to handle the general structured sparsity learning,Learning with Structured Sparsity,https://www.jmlr.org/papers/volume12/huang11b/huang11b.pdf
64,Discussion,['Effectiveness'],It is shown that the algorithm is effective under appropriate conditions. F,Learning with Structured Sparsity,https://www.jmlr.org/papers/volume12/huang11b/huang11b.pdf
65,Discussion,['Efficiency'],"Future work include additional computationally efficient methods such as convex relaxation methods (e.g. L1 regularization for standard sparsity, and group Lasso for strong group sparsity) and backward greedy strategies to improve the forward greedy method considered in this paper",Learning with Structured Sparsity,https://www.jmlr.org/papers/volume12/huang11b/huang11b.pdf
66,Abstract,"['Simplicity', 'Effectiveness']",Low-rank matrix approximation methods provide one of the simplest and most eﬀective approaches to collaborative ﬁltering.,Bayesian Probabilistic Matrix Factorization using Markov Chain Monte Carlo,http://icml2008.cs.helsinki.fi/papers/600.pdf
67,Abstract,"['Large scale', 'Efficiency', 'Scales up']","Such models are usually ﬁtted to data by ﬁnding a MAP estimate of the model parameters, a procedure that can be performed eﬃciently even on very large datasets.",Bayesian Probabilistic Matrix Factorization using Markov Chain Monte Carlo,http://icml2008.cs.helsinki.fi/papers/600.pdf
69,Abstract,['Automatic'],In this paper we present a fully Bayesian treatment of the Probabilistic Matrix Factorization (PMF) model in which model capacity is controlled automatically by integrating over all model parameters and hyperparameters.,Bayesian Probabilistic Matrix Factorization using Markov Chain Monte Carlo,http://icml2008.cs.helsinki.fi/papers/600.pdf
70,Abstract,"['Large scale', 'Efficiency', 'Scales up']","We show that Bayesian PMF models can be eﬃciently trained us- ing Markov chain Monte Carlo methods by applying them to the Netﬂix dataset, which consists of over 100 million movie ratings.",Bayesian Probabilistic Matrix Factorization using Markov Chain Monte Carlo,http://icml2008.cs.helsinki.fi/papers/600.pdf
71,Abstract,['Accuracy'],The resulting models achieve signiﬁcantly higher prediction accuracy than PMF models trained using MAP estimation.,Bayesian Probabilistic Matrix Factorization using Markov Chain Monte Carlo,http://icml2008.cs.helsinki.fi/papers/600.pdf
81,Introduction,"['Large scale', 'Efficiency', 'Scales up']",Training such models amounts to maximiz- ing the log-posterior over model parameters and can be done very eﬃciently even on very large datasets.,Bayesian Probabilistic Matrix Factorization using Markov Chain Monte Carlo,http://icml2008.cs.helsinki.fi/papers/600.pdf
82,Introduction,['Used in practice/Popular'],"In practice, we are usually interested in predicting rat- ings for new user/movie pairs rather than in estimat- ing model parameters.",Bayesian Probabilistic Matrix Factorization using Markov Chain Monte Carlo,http://icml2008.cs.helsinki.fi/papers/600.pdf
85,Introduction,['Novelty'],The distinguishing feature of our work is the use of Markov chain Monte Carlo (MCMC) methods for approximate inference in this model.,Bayesian Probabilistic Matrix Factorization using Markov Chain Monte Carlo,http://icml2008.cs.helsinki.fi/papers/600.pdf
86,Introduction,"['Large scale', 'Used in practice/Popular']","In practice, MCMC methods are rarely used on large- scale problems because they are perceived to be very slow by practitioners.",Bayesian Probabilistic Matrix Factorization using Markov Chain Monte Carlo,http://icml2008.cs.helsinki.fi/papers/600.pdf
87,Introduction,['Successful'],"In this paper we show that MCMC can be successfully applied to the large, sparse, and very imbalanced Netﬂix dataset, containing over 100 million user/movie ratings.",Bayesian Probabilistic Matrix Factorization using Markov Chain Monte Carlo,http://icml2008.cs.helsinki.fi/papers/600.pdf
88,Introduction,['Accuracy'],"We also show that it signiﬁcantly increases the model’s predictive accuracy, especially for the infrequent users, compared to the standard PMF models trained using MAP with regu- larization parameters that have been carefully tuned on the validation set.",Bayesian Probabilistic Matrix Factorization using Markov Chain Monte Carlo,http://icml2008.cs.helsinki.fi/papers/600.pdf
90,Introduction,['Simplicity'],"These methods at- tempt to approximate the true posterior distribution by a simpler, factorized distribution under which the user factor vectors are independent of the movie factor vectors.",Bayesian Probabilistic Matrix Factorization using Markov Chain Monte Carlo,http://icml2008.cs.helsinki.fi/papers/600.pdf
93,Introduction,['Performance'],This conclusion is supported by the fact that the Bayesian PMF models outperform their MAP trained counterparts by a much larger margin than the variationally trained models do.,Bayesian Probabilistic Matrix Factorization using Markov Chain Monte Carlo,http://icml2008.cs.helsinki.fi/papers/600.pdf
95,Conclusion,"['Large scale', 'Accuracy', 'Successful', 'Scales up']","We have also demonstrated that Bayesian PMF models can be successfully applied to a large dataset containing over 100 million movie ratings, and achieve significantly higher predictive accuracy compared to the MAPtrained PMF models with carefully tuned regularization parameters.",Bayesian Probabilistic Matrix Factorization using Markov Chain Monte Carlo,http://icml2008.cs.helsinki.fi/papers/600.pdf
100,Conclusion,['Used in practice/Popular'],"In practice, we have to rely on rules of thumb to diagnose convergence, which means that there is a risk of using samples from a distribution that differs from the true posterior distribution, potentially leading to suboptimal predictions.",Bayesian Probabilistic Matrix Factorization using Markov Chain Monte Carlo,http://icml2008.cs.helsinki.fi/papers/600.pdf
103,Conclusion,['Parallelizability / distributed'],"However, as mentioned above, sampling the feature vectors for multiple users or movies in parallel provides an easy way to greatly speed up the process of generating samples using multiple cores.",Bayesian Probabilistic Matrix Factorization using Markov Chain Monte Carlo,http://icml2008.cs.helsinki.fi/papers/600.pdf
104,Abstract,['Efficiency'],We describe efﬁcient algorithms for projecting a vector onto the ℓ1-ball.,Efficient Projections onto the ℓ1-Ball for Learning in High Dimensions,http://icml2008.cs.helsinki.fi/papers/361.pdf
108,Abstract,['Useful'],This setting is especially useful for online learning in sparse feature spaces such as text categorization applications.,Efficient Projections onto the ℓ1-Ball for Learning in High Dimensions,http://icml2008.cs.helsinki.fi/papers/361.pdf
109,Abstract,['Effectiveness'],We demonstrate the merits and ef- fectiveness of our algorithms in numerous batch and online learning tasks.,Efficient Projections onto the ℓ1-Ball for Learning in High Dimensions,http://icml2008.cs.helsinki.fi/papers/361.pdf
110,Abstract,"['State-of-the-art', 'Efficiency']","We show that vari- ants of stochastic gradient projection methods augmented with our efﬁcient projection proce- dures outperform interior point methods, which are considered state-of-the-art optimization tech- niques.",Efficient Projections onto the ℓ1-Ball for Learning in High Dimensions,http://icml2008.cs.helsinki.fi/papers/361.pdf
124,Introduction,['Generalization'],The second motivation for using ℓ1 constraints in machine learning problems is that in some cases it leads to improved generalization bounds.,Efficient Projections onto the ℓ1-Ball for Learning in High Dimensions,http://icml2008.cs.helsinki.fi/papers/361.pdf
129,Introduction,"['Generalization', 'Efficiency']",Recent work on ℓ2 constrained optimization for machine learning indicates that gradient-related projection algorithms are more efﬁ- cient in approaching a solution of good generalization than second-order algorithms when the number of examples and the dimension are large.,Efficient Projections onto the ℓ1-Ball for Learning in High Dimensions,http://icml2008.cs.helsinki.fi/papers/361.pdf
130,Introduction,"['Large scale', 'State-of-the-art']","For instance, Shalev-Shwartz et al. (2007) give recent state-of-the-art methods for solv- ing large scale support vector machines.",Efficient Projections onto the ℓ1-Ball for Learning in High Dimensions,http://icml2008.cs.helsinki.fi/papers/361.pdf
133,Introduction,['Fast'],The main contribution of this paper is the derivation of gradient projections with ℓ1 domain con- straints that can be performed almost as fast as gradient projection with ℓ2 constraints.,Efficient Projections onto the ℓ1-Ball for Learning in High Dimensions,http://icml2008.cs.helsinki.fi/papers/361.pdf
134,Introduction,['Efficiency'],Our starting point is an efﬁcient method for projection onto the probabilistic simplex.,Efficient Projections onto the ℓ1-Ball for Learning in High Dimensions,http://icml2008.cs.helsinki.fi/papers/361.pdf
148,Introduction,['Theoretical guarantees'],We therefore shift gears and describe a more complex algorithm that employs red- black trees to obtain a linear dependence on the number of non-zero features in an example and only logarithmic dependence on the full dimension.,Efficient Projections onto the ℓ1-Ball for Learning in High Dimensions,http://icml2008.cs.helsinki.fi/papers/361.pdf
152,Introduction,['Fast'],"Our projec- tion based methods outperform competing algorithms in terms of sparsity, and they exhibit faster convergence and lower regret than previous methods.",Efficient Projections onto the ℓ1-Ball for Learning in High Dimensions,http://icml2008.cs.helsinki.fi/papers/361.pdf
158,Introduction,['State-of-the-art'],"Particularly worrisome is the phenomenon of adversarial examples [Big+13; Sze+14], imperceptibly perturbed natural inputs that induce erroneous predictions in state-of-the-art classifiers.","Adversarial Examples are not Bugs, they are Features",http://papers.nips.cc/paper/8307-adversarial-examples-are-not-bugs-they-are-features.pdf
162,Introduction,"['Robustness', 'Accuracy']","From this point of view, it is natural to treat adversarial robustness as a goal that can be disentangled and pursued independently from maximizing accuracy [Mad+18; SHS19; Sug+19], either through improved standard regularization methods [TG16] or pre/post-processing of network inputs/outputs [Ues+18; CW17a; He+17].","Adversarial Examples are not Bugs, they are Features",http://papers.nips.cc/paper/8307-adversarial-examples-are-not-bugs-they-are-features.pdf
172,Introduction,['Robustness'],"Since any two models are likely to learn similar non-robust features, perturbations that manipulate such features will apply to both.","Adversarial Examples are not Bugs, they are Features",http://papers.nips.cc/paper/8307-adversarial-examples-are-not-bugs-they-are-features.pdf
176,Introduction,['Robustness'],"To corroborate our theory, we show that it is possible to disentangle robust from non-robust features in standard image classification datasets.","Adversarial Examples are not Bugs, they are Features",http://papers.nips.cc/paper/8307-adversarial-examples-are-not-bugs-they-are-features.pdf
177,Introduction,['Robustness'],We are able to effectively remove non-robust features from a dataset.,"Adversarial Examples are not Bugs, they are Features",http://papers.nips.cc/paper/8307-adversarial-examples-are-not-bugs-they-are-features.pdf
178,Introduction,"['Robustness', 'Concreteness', 'Accuracy', 'Avoiding train/test discrepancy']","Concretely, we create a training set (semantically similar to the original) on which standard training yields good robust accuracy on the original, unmodified test set. T","Adversarial Examples are not Bugs, they are Features",http://papers.nips.cc/paper/8307-adversarial-examples-are-not-bugs-they-are-features.pdf
180,Introduction,['Robustness'],"In fact, the inputs in the new training set are associated to their labels only through small adversarial perturbations (and hence utilize only nonrobust features).","Adversarial Examples are not Bugs, they are Features",http://papers.nips.cc/paper/8307-adversarial-examples-are-not-bugs-they-are-features.pdf
181,Introduction,['Accuracy'],"Despite the lack of any predictive human-visible information, training on this dataset yields good accuracy on the original, unmodified test set.","Adversarial Examples are not Bugs, they are Features",http://papers.nips.cc/paper/8307-adversarial-examples-are-not-bugs-they-are-features.pdf
183,Introduction,"['Robustness', 'Concreteness']","Finally, we present a concrete classification task where the connection between adversarial examples and non-robust features can be studied rigorously.","Adversarial Examples are not Bugs, they are Features",http://papers.nips.cc/paper/8307-adversarial-examples-are-not-bugs-they-are-features.pdf
185,Introduction,"['Quantitative evidence (e.g. experiments)', 'Preciseness']","First, adversarial vulnerability in our setting can be precisely quantified as a difference between the intrinsic data geometry and that of the adversary’s perturbation set","Adversarial Examples are not Bugs, they are Features",http://papers.nips.cc/paper/8307-adversarial-examples-are-not-bugs-they-are-features.pdf
186,Introduction,['Robustness'],"Second, robust training yields a classifier which utilizes a geometry corresponding to a combination of these two.","Adversarial Examples are not Bugs, they are Features",http://papers.nips.cc/paper/8307-adversarial-examples-are-not-bugs-they-are-features.pdf
188,Discussion,['Robustness'],"Our analysis suggests that rather than offering quantitative classification benefits, a natural way to view the role of robust optimization is as enforcing a prior over the features learned by the classifier.","Adversarial Examples are not Bugs, they are Features",http://papers.nips.cc/paper/8307-adversarial-examples-are-not-bugs-they-are-features.pdf
190,Conclusion,['Robustness'],"In this work, we cast the phenomenon of adversarial examples as a natural consequence of the presence of highly predictive but non-robust features in standard ML datasets.","Adversarial Examples are not Bugs, they are Features",http://papers.nips.cc/paper/8307-adversarial-examples-are-not-bugs-they-are-features.pdf
191,Conclusion,['Robustness'],"We provide support for this hypothesis by explicitly disentangling robust and non-robust features in standard datasets, as well as showing that non-robust features alone are sufficient for good generalization.","Adversarial Examples are not Bugs, they are Features",http://papers.nips.cc/paper/8307-adversarial-examples-are-not-bugs-they-are-features.pdf
192,Conclusion,['Robustness'],"Finally, we study these phenomena in more detail in a theoretical setting where we can rigorously study adversarial vulnerability, robust training, and gradient alignment.","Adversarial Examples are not Bugs, they are Features",http://papers.nips.cc/paper/8307-adversarial-examples-are-not-bugs-they-are-features.pdf
194,Conclusion,['Robustness'],"In particular, we should not be surprised that classifiers exploit highly predictive features that happen to be non-robust under a human-selected notion of similarity, given such features exist in real-world datasets.","Adversarial Examples are not Bugs, they are Features",http://papers.nips.cc/paper/8307-adversarial-examples-are-not-bugs-they-are-features.pdf
195,Conclusion,"['Robustness', 'Understanding (for researchers)']","In the same manner, from the perspective of interpretability, as long as models rely on these non-robust features, we cannot expect to have model explanations that are both human-meaningful and faithful to the models themselves.","Adversarial Examples are not Bugs, they are Features",http://papers.nips.cc/paper/8307-adversarial-examples-are-not-bugs-they-are-features.pdf
196,Conclusion,"['Robustness', 'Understanding (for researchers)', 'Learning from humans']","Overall, attaining models that are robust and interpretable will require explicitly encoding human priors into the training process.","Adversarial Examples are not Bugs, they are Features",http://papers.nips.cc/paper/8307-adversarial-examples-are-not-bugs-they-are-features.pdf
197,Abstract,['Label efficiency (reduced need for labeled data)'],Semi-supervised learning has proven to be a powerful paradigm for leveraging unlabeled data to mitigate the reliance on large labeled datasets.,MixMatch: A Holistic Approach to Semi-Supervised Learning,http://papers.nips.cc/paper/8749-mixmatch-a-holistic-approach-to-semi-supervised-learning.pdf
198,Abstract,['Novelty'],"In this work, we unify the current dominant approaches for semi-supervised learning to produce a new algorithm, MixMatch, that guesses low-entropy labels for data-augmented unlabeled examples and mixes labeled and unlabeled data using MixUp.",MixMatch: A Holistic Approach to Semi-Supervised Learning,http://papers.nips.cc/paper/8749-mixmatch-a-holistic-approach-to-semi-supervised-learning.pdf
199,Abstract,['State-of-the-art'],MixMatch obtains state-of-the-art results by a large margin across many datasets and labeled data amounts.,MixMatch: A Holistic Approach to Semi-Supervised Learning,http://papers.nips.cc/paper/8749-mixmatch-a-holistic-approach-to-semi-supervised-learning.pdf
201,Abstract,"['Accuracy', 'Privacy']",We also demonstrate how MixMatch can help achieve a dramatically better accuracy-privacy trade-off for differential privacy.,MixMatch: A Holistic Approach to Semi-Supervised Learning,http://papers.nips.cc/paper/8749-mixmatch-a-holistic-approach-to-semi-supervised-learning.pdf
202,Abstract,['Successful'],"Finally, we perform an ablation study to tease apart which components of MixMatch are most important for its success.",MixMatch: A Holistic Approach to Semi-Supervised Learning,http://papers.nips.cc/paper/8749-mixmatch-a-holistic-approach-to-semi-supervised-learning.pdf
203,Abstract,['Facilitating use (e.g. sharing code)'],We release all code used in our experiments,MixMatch: A Holistic Approach to Semi-Supervised Learning,http://papers.nips.cc/paper/8749-mixmatch-a-holistic-approach-to-semi-supervised-learning.pdf
204,Introduction,"['Large scale', 'Successful']","Much of the recent success in training large, deep neural networks is thanks in part to the existence of large labeled datasets.",MixMatch: A Holistic Approach to Semi-Supervised Learning,http://papers.nips.cc/paper/8749-mixmatch-a-holistic-approach-to-semi-supervised-learning.pdf
206,Introduction,['Label efficiency (reduced need for labeled data)'],This is perhaps best illustrated by medical tasks where measurements call for expensive machinery and labels are the fruit of a time-consuming analysis that draws from multiple human experts.,MixMatch: A Holistic Approach to Semi-Supervised Learning,http://papers.nips.cc/paper/8749-mixmatch-a-holistic-approach-to-semi-supervised-learning.pdf
208,Introduction,['Label efficiency (reduced need for labeled data)'],"In comparison, in many tasks it is much easier or cheaper to obtain unlabeled data.",MixMatch: A Holistic Approach to Semi-Supervised Learning,http://papers.nips.cc/paper/8749-mixmatch-a-holistic-approach-to-semi-supervised-learning.pdf
209,Introduction,['Label efficiency (reduced need for labeled data)'],Semi-supervised learning [6] (SSL) seeks to largely alleviate the need for labeled data by allowing a model to leverage unlabeled data.,MixMatch: A Holistic Approach to Semi-Supervised Learning,http://papers.nips.cc/paper/8749-mixmatch-a-holistic-approach-to-semi-supervised-learning.pdf
211,Introduction,"['Performance', 'Avoiding train/test discrepancy']","In much recent work, this loss term falls into one of three classes (discussed further in Section 2): entropy minimization [18, 28]—which encourages the model to output confident predictions on unlabeled data; consistency regularization—which encourages the model to produce the same output distribution when its inputs are perturbed; and generic regularization—which encourages the model to generalize well and avoid overfitting the training data.",MixMatch: A Holistic Approach to Semi-Supervised Learning,http://papers.nips.cc/paper/8749-mixmatch-a-holistic-approach-to-semi-supervised-learning.pdf
212,Introduction,['Unifying ideas or integrating components'],"In this paper, we introduce MixMatch, an SSL algorithm which introduces a single loss that gracefully unifies these dominant approaches to semi-supervised learning.",MixMatch: A Holistic Approach to Semi-Supervised Learning,http://papers.nips.cc/paper/8749-mixmatch-a-holistic-approach-to-semi-supervised-learning.pdf
213,Introduction,['Novelty'],"g. Unlike previous methods, MixMatch targets all the properties at once which we find leads to the following benefits:",MixMatch: A Holistic Approach to Semi-Supervised Learning,http://papers.nips.cc/paper/8749-mixmatch-a-holistic-approach-to-semi-supervised-learning.pdf
214,Introduction,"['Quantitative evidence (e.g. experiments)', 'State-of-the-art']","Experimentally, we show that MixMatch obtains state-of-the-art results on all standard image benchmarks (section 4.2), and reducing the error rate on CIFAR-10 by a factor of 4;",MixMatch: A Holistic Approach to Semi-Supervised Learning,http://papers.nips.cc/paper/8749-mixmatch-a-holistic-approach-to-semi-supervised-learning.pdf
216,Introduction,"['Accuracy', 'State-of-the-art', 'Privacy']","We demonstrate in section 4.3 that MixMatch is useful for differentially private learning, enabling students in the PATE framework [36] to obtain new state-of-the-art results that simultaneously strengthen both privacy guarantees and accuracy.",MixMatch: A Holistic Approach to Semi-Supervised Learning,http://papers.nips.cc/paper/8749-mixmatch-a-holistic-approach-to-semi-supervised-learning.pdf
218,Conclusion,['Unifying ideas or integrating components'],"We introduced MixMatch, a semi-supervised learning method which combines ideas and components from the current dominant paradigms for SSL.",MixMatch: A Holistic Approach to Semi-Supervised Learning,http://papers.nips.cc/paper/8749-mixmatch-a-holistic-approach-to-semi-supervised-learning.pdf
219,Conclusion,"['Quantitative evidence (e.g. experiments)', 'Performance', 'Privacy']","Through extensive experiments on semi-supervised and privacy-preserving learning, we found that MixMatch exhibited significantly improved performance compared to other methods in all settings we studied, often by a factor of two or more reduction in error rate.",MixMatch: A Holistic Approach to Semi-Supervised Learning,http://papers.nips.cc/paper/8749-mixmatch-a-holistic-approach-to-semi-supervised-learning.pdf
220,Conclusion,"['Effectiveness', 'Unifying ideas or integrating components']","In future work, we are interested in incorporating additional ideas from the semi-supervised learning literature into hybrid methods and continuing to explore which components result in effective algorithms.",MixMatch: A Holistic Approach to Semi-Supervised Learning,http://papers.nips.cc/paper/8749-mixmatch-a-holistic-approach-to-semi-supervised-learning.pdf
221,Conclusion,['Effectiveness'],"Separately, most modern work on semi-supervised learning algorithms is evaluated on image benchmarks; we are interested in exploring the effectiveness of MixMatch in other domains.",MixMatch: A Holistic Approach to Semi-Supervised Learning,http://papers.nips.cc/paper/8749-mixmatch-a-holistic-approach-to-semi-supervised-learning.pdf
222,Abstract,"['Novelty', 'Performance']","In the last year, new models and methods for pretraining and transfer learning have driven striking performance improvements across a range of language understanding tasks.",SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems,http://papers.nips.cc/paper/8589-superglue-a-stickier-benchmark-for-general-purpose-language-understanding-systems.pdf
223,Abstract,['Performance'],"The GLUE benchmark, introduced a little over one year ago, offers a single-number metric that summarizes progress on a diverse set of such tasks, but performance on the benchmark has recently surpassed the level of non-expert humans, suggesting limited headroom for further research.",SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems,http://papers.nips.cc/paper/8589-superglue-a-stickier-benchmark-for-general-purpose-language-understanding-systems.pdf
224,Abstract,"['Novelty', 'Building on recent work']","In this paper we present SuperGLUE, a new benchmark styled after GLUE with a new set of more difficult language understanding tasks, a software toolkit, and a public leaderboard.",SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems,http://papers.nips.cc/paper/8589-superglue-a-stickier-benchmark-for-general-purpose-language-understanding-systems.pdf
225,Abstract,['Facilitating use (e.g. sharing code)'],SuperGLUE is available at super.gluebenchmark.com.,SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems,http://papers.nips.cc/paper/8589-superglue-a-stickier-benchmark-for-general-purpose-language-understanding-systems.pdf
227,Introduction,['Effectiveness'],The unifying theme of these methods is that they couple self-supervised learning from massive unlabelled text corpora with effective adapting of the resulting model to target tasks.,SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems,http://papers.nips.cc/paper/8589-superglue-a-stickier-benchmark-for-general-purpose-language-understanding-systems.pdf
233,Introduction,['Progress'],The progress of the last twelve months has eroded headroom on the GLUE benchmark dramatically.,SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems,http://papers.nips.cc/paper/8589-superglue-a-stickier-benchmark-for-general-purpose-language-understanding-systems.pdf
234,Introduction,"['Quantitative evidence (e.g. experiments)', 'Performance', 'State-of-the-art']","While some tasks (Figure 1) and some linguistic phenomena (Figure 2 in Appendix B) measured in GLUE remain difficult, the current state of the art GLUE Score as of early July 2019 (88.4 from Yang et al., 2019) surpasses human performance (87.1 from Nangia and Bowman, 2019) by 1.3 points, and in fact exceeds this human performance estimate on four tasks.",SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems,http://papers.nips.cc/paper/8589-superglue-a-stickier-benchmark-for-general-purpose-language-understanding-systems.pdf
235,Introduction,['Improvement'],"Consequently, while there remains substantial scope for improvement towards GLUE’s high-level goals, the original version of the benchmark is no longer a suitable metric for quantifying such progress.",SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems,http://papers.nips.cc/paper/8589-superglue-a-stickier-benchmark-for-general-purpose-language-understanding-systems.pdf
236,Introduction,['Novelty'],"In response, we introduce SuperGLUE, a new benchmark designed to pose a more rigorous test of language understanding",SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems,http://papers.nips.cc/paper/8589-superglue-a-stickier-benchmark-for-general-purpose-language-understanding-systems.pdf
237,Introduction,"['Simplicity', 'Building on recent work', 'Progress']","SuperGLUE has the same high-level motivation as GLUE: to provide a simple, hard-to-game measure of progress toward general-purpose language understanding technologies for English.",SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems,http://papers.nips.cc/paper/8589-superglue-a-stickier-benchmark-for-general-purpose-language-understanding-systems.pdf
238,Introduction,['Progress'],"We anticipate that significant progress on SuperGLUE should require substantive innovations in a number of core areas of machine learning, including sample-efficient, transfer, multitask, and unsupervised or self-supervised learning.",SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems,http://papers.nips.cc/paper/8589-superglue-a-stickier-benchmark-for-general-purpose-language-understanding-systems.pdf
239,Introduction,['Performance'],"We include human performance estimates for all benchmark tasks, which verify that substantial headroom exists between a strong BERT-based baseline and human performance.",SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems,http://papers.nips.cc/paper/8589-superglue-a-stickier-benchmark-for-general-purpose-language-understanding-systems.pdf
240,Conclusion,['Novelty'],"We present SuperGLUE, a new benchmark for evaluating general-purpose language understanding systems.",SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems,http://papers.nips.cc/paper/8589-superglue-a-stickier-benchmark-for-general-purpose-language-understanding-systems.pdf
244,Conclusion,"['Performance', 'Progress']","Given the difficulty of SuperGLUE for BERT, we expect that further progress in multi-task, transfer, and unsupervised/self-supervised learning techniques will be necessary to approach human-level performance on the benchmark.",SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems,http://papers.nips.cc/paper/8589-superglue-a-stickier-benchmark-for-general-purpose-language-understanding-systems.pdf
245,Conclusion,['Novelty'],"Overall, we argue that SuperGLUE offers a rich and challenging testbed for work developing new general-purpose machine learning methods for language understanding.",SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems,http://papers.nips.cc/paper/8589-superglue-a-stickier-benchmark-for-general-purpose-language-understanding-systems.pdf
247,Abstract,"['Automatic', 'Useful']","Recently, deep architectures trained in an unsupervised manner have been proposed as an automatic method for extracting useful features.",Measuring Invariances in Deep Networks,http://papers.nips.cc/paper/3790-measuring-invariances-in-deep-networks.pdf
248,Abstract,['Quantitative evidence (e.g. experiments)'],"In this paper, we propose a number of empirical tests that directly measure the degree to which these learned features are invariant to different input transformations.",Measuring Invariances in Deep Networks,http://papers.nips.cc/paper/3790-measuring-invariances-in-deep-networks.pdf
