doc_id,frames
377,This label indicates that the user is requesting a specific piece
378,Information_Request
379,This label indicates that the user is requesting specific information about
380,Atmospheric Characterization Inquiry
381,This label indicates that the user is inquiring about the current state
382,Querying Star Formation Rate Indicators
383,This label indicates that the user is seeking information
384,Information_Request
385,This label indicates that the user is requesting information about the
386,Training Dataset Inquiry
387,Information_Request
388,This label indicates that the user is requesting information or an
389,Information_Request
390,This label indicates that the user is requesting information about a
391,Information_Request_Kriging_Methods
392,Astronomy Application Inquiry
393,This label indicates that the user is inquiring about the application of
394,Atmospheric Characterization
395,This label indicates that the user is inquiring about the atmospheric properties
396,Temperature Inquiry - AGN Outflows
397,This label indicates that the user is inquiring
398,Atmospheric Characterization
399,Asking-for-interpretation
400,Seeking Theoretical Explanation
401,The user is seeking a theoretical explanation for an observed phenomenon in
402,Explaining_anomalous_chemical_composition
403,This label is used to describe queries that
404,Comparative Effectiveness of AGN Types
405,This label describes the query as a comparison between two
406,Explaining_anomalous_result
407,Explaining_anomalous_result
408,Explaining_anomalous_result
409,This label is used to identify queries where the user is
410,Explaining_anomalous_result
411,Hypothesis_Generation
412,This label is assigned because the user is seeking multiple possible explanations
413,Irrelevant
414,"This query is unrelated to astronomy and is a request for a culinary recipe,"
415,Off-topic
416,This label indicates that the user's query
417,Off-Topic/Non-Academic Inquiry
418,Off-Topic/Non-Astronomy Inquiry
419,This label indicates that the user's input
420,Frustration or Abandonment
421,Planetary Information Request
422,Classification
423,This label indicates that the user is seeking to classify or
424,Classification_Question
425,Exoplanet_characterization
426,Information_Request_Transit_Lightcurve_Analysis
427,This label indicates that the user is requesting
428,Information_Request
429,This label indicates that the user is requesting specific information on
430,Querying Literature by Dataset and Topic
431,This label describes a query that seeks literature related
432,Querying Specific Dataset Literature
433,This label indicates that the user is searching for literature related to
434,Decomposition_Request
435,Information_Request
436,This label indicates that the user is requesting a summary or overview of
437,Information_Request
438,This label describes the user's input as a request
439,Discovery-related question
440,Historical Survey Query
441,This label indicates that the user is asking for information about a historical
442,Information_Request
443,This label describes the user's input as a request for
444,Information_Request_Supernova_Facts
445,This label indicates that the user is seeking
446,Querying Extreme Event
447,INCOMPLETE_SHOCK
448,Conversion Request
449,DistanceQuery
450,Query_AstronomicalObjectProperty
451,This label describes the query type as asking for
452,Questioning Universality
453,Information Request - Literature Search
454,This label indicates that the user is requesting a
455,Definition_Request
456,Atmospheric Escape Mechanism Inquiry
457,This label indicates that the user is inquiring about the specific
458,Classification
459,This label indicates that the user is seeking to classify the Milky
460,Querying Methodology for Astronomical Phenomena
461,This label indicates that the
462,Specific_Fact_Query
463,Hypothesis_Generation
464,Atmospheric Dependence Inquiry
465,This label describes a query that inquires about the relationship between
466,Timescale_Inquiry_AGN
467,Timescale_Inquiry
468,This label indicates that the
469,AGN_Luminosity_Relationship
470,Querying Theoretical Possibility
471,This label describes a query that asks about the theoretical
472,Correlation Inquiry
473,This label indicates that the user is inquiring about the relationship between
474,Galaxy Properties Inquiry
475,Gas Acquisition Mechanism
476,Querying Molecular Identification
477,The user is inquiring about the specific chemical carrier responsible for
478,Querying Spectral Line Variations
479,This label indicates that the user is inquiring
480,Velocity_Query_Gaia_Data
481,The user is inquiring about specific velocity measurements of
482,Querying Literature on Specific Topic
483,This label describes a query that asks for papers related
484,Querying Evidence for Theoretical Concept
485,The user is inquiring whether a specific ratio
486,Information-seeking
487,This label indicates that the user is seeking specific information
488,Information_Request_About_Specific_Astronomical_Concept
489,The user is requesting
490,Information_Request
491,This label indicates that the user
492,Information_Request
493,This label describes the query
494,Information_Request_AGN
495,Comparative_QSO_Characteristics
496,This label describes a query that compares or contrasts different characteristics
497,Estimation_Methods
498,Querying Unknown Phenomenon
499,Querying_Artifact_Description
500,The user is asking for a description of a specific
501,Querying Astronomical Object Identification
502,The user is asking the bot to identify a
503,Querying Satellite Galaxy Populations
504,This label describes a query that inquires about the
505,Hypothesis-Driven Literature Search
506,This label indicates that the user is seeking literature
507,Querying Satellite Galaxy Populations
508,This label describes a query that asks for a comparison
509,Definition_Request
510,Informational Query
511,This label indicates that the user is seeking a brief
512,Informational Query
513,This label indicates that the user is seeking a brief
514,Definition_Request
515,Information_Request
516,This label indicates that the user is requesting specific information about a
517,InformationRequest_AstronomicalObject
518,This label indicates that the user is requesting information
519,Stellar Object Query
520,Astronomy Object Identification
521,This label indicates that the user is asking for the identification of a
522,Irrelevant
523,"The query is not related to astronomy, but rather to horticulture or"
524,Comparison_of_Theoretical_Models
525,This label describes a query that compares and contrasts
526,Information_Request
527,This label indicates that the user is requesting specific information related
528,Galaxy Identification
529,Object Identification
530,Galaxy Identification
531,Galaxy Structure Inquiry
532,This label indicates that the user is inquiring about the internal structure
533,DiscoveryMethod
534,ResearchRequest_AstronomicalObject
535,InformationRequest_PapersOnTopic
536,This label describes the user's input as a request
537,InformationRequest_Citation
538,This label indicates that the user is requesting a list
539,IDENTIFYING_FEATURES
540,Definition-seeking
541,Definition-seeking
542,This label indicates that the user is seeking a definition or specific
543,Informational Query
544,This label indicates that the user is seeking a definition or
545,Informational Query
546,This label indicates that the user is seeking a definition or
547,Information_Request
548,This label indicates that the user is in
549,Hypothetical Scenario Inquiry
550,This label describes a query that asks about the outcome of
551,Geology Misconception
552,The query contains a misconception about the composition of rocky planets
553,Explaining Astronomical Phenomenon
554,This label indicates that the user is seeking
555,Planetary System Query
556,Definition-seeking
557,Mass-estimation_query
558,This label indicates that the user is seeking an estimation of
559,MATH_CONVERSION
560,DefinitionRequest
561,Chemistry-related question in astronomy context (irrelevant to astronomy literature search)
562,This label indicates that
563,Informational Query
564,This label indicates that the user
565,Numerical Calculation
566,"This label indicates that the user's input is a mathematical calculation, which"
567,Supernova_Outcome
568,Information Request
569,This label indicates that the user is seeking a specific format
570,Information-seeking
571,This label indicates that the user is seeking information on a
572,Mechanism_Enquiry
573,Mechanism Inquiry
574,Classification
575,This label indicates that the user is seeking
576,Definition Clarification
577,This label indicates that the user is seeking a clear definition or distinction
578,Comparative_Astrophysical_Bodies
579,Information_Request
580,This label indicates that the user is requesting specific information (
581,Querying Specific Method Application
582,This label describes a query that asks for papers applying a
583,Query for Specific Research Papers
584,This label indicates that the user is seeking a list of papers
585,Querying Literature for Specific Research Topic
586,This label indicates that the user is searching for
587,Querying Methodological Limitation
588,This label indicates that the user is inquiring about
589,Querying Application of Statistical Methods to Astronomical Models
590,This label indicates that the user
591,Irrelevant
592,Information_Request
593,This label indicates that the user is requesting information about the system
594,Information_Request
595,This label indicates that the user is requesting information about a
596,Lensing_inquiry
597,Information_Request_Astronomical_Concept
598,The label describes the query as a request
599,Information_Request
600,This label indicates that the user is requesting information about a specific
601,Information_Request
602,This label indicates that the user is requesting specific information or
603,Measurement_Request
604,Measurement_Request
605,Measurement_Request
606,Querying Astronomical Constants
607,The user is inquiring about specific measurements related to
608,Querying Specific Event Type
609,This label indicates that the user is asking about a specific
